,     Switzerland," 4,292 "," 2,716 "," 4,404 "," 2,218 "," 4,305 "," 3,985 "," 3,669 "," 3,943 "," 3,250 "," 6,073 "," 4,949 "," 5,424 "," 4,846 "," 4,226 "," 3,823 "," 3,870 "," 3,618 "," 4,838 "," 5,314 "," 3,279 "," 3,647 "," 4,186 "," 4,351 "," 3,918 "," 3,838 "," 4,315 "," 4,378 "," 3,787 "," 4,411 "," 4,245 "," 3,451 "," 3,943 "," 5,234 "," 4,557 "," 4,780 "," 3,759 "," 4,012 "," 4,112 "," 5,464 "," 3,765 "," 4,346 "," 5,827 "," 4,117 "," 3,098 "," 3,769 "," 2,922 "," 2,958 "," 3,988 "," 3,157 "," 2,965 "," 4,374 "," 5,829 "," 5,753 "," 3,491 "," 4,351 "," 4,860 "
,     Netherlands," 1,829 "," 1,746 "," 1,578 "," 2,300 "," 1,387 "," 1,322 "," 2,102 "," 1,482 "," 1,706 "," 2,719 "," 1,824 "," 2,281 "," 1,806 "," 1,873 "," 1,940 "," 1,773 "," 2,364 "," 1,889 "," 2,023 "," 1,855 "," 1,847 "," 1,173 "," 1,197 "," 1,960 "," 2,242 "," 1,992 "," 2,154 "," 2,267 "," 2,287 "," 2,099 "," 2,086 "," 1,312 "," 2,551 "," 1,628 "," 2,007 "," 1,894 "," 2,276 "," 1,722 "," 1,755 "," 1,254 "," 1,477 "," 1,999 "," 1,972 "," 1,473 "," 1,752 "," 1,779 "," 1,686 "," 2,182 "," 2,142 "," 4,615 "," 2,102 "," 1,652 "," 2,254 "," 2,116 "," 2,701 "," 2,461 "
,     Italy," 2,138 "," 1,700 "," 1,732 "," 1,727 "," 2,144 "," 2,691 "," 2,185 "," 3,197 "," 2,279 "," 3,123 "," 5,023 "," 5,685 "," 3,502 "," 1,755 "," 2,289 "," 2,418 "," 2,173 "," 2,256 "," 2,243 "," 1,786 "," 1,906 "," 2,893 "," 1,535 "," 2,131 "," 2,637 "," 2,016 "," 2,030 "," 1,836 "," 2,097 "," 1,909 "," 1,597 "," 1,554 "," 1,714 "," 1,866 "," 1,744 "," 2,176 "," 2,261 "," 2,354 "," 2,169 "," 1,864 "," 1,719 "," 1,702 "," 1,886 "," 2,925 "," 2,027 "," 1,644 "," 2,861 "," 2,063 "," 2,545 "," 2,646 "," 2,962 "," 2,007 "," 2,600 "," 2,647 "," 2,928 "," 2,885 "
,     Sweden," 1,881 "," 1,626 "," 1,681 "," 1,319 "," 1,372 "," 1,207 ", 886 ," 1,209 "," 1,432 "," 1,585 "," 1,789 "," 2,023 "," 2,440 "," 1,700 "," 2,084 "," 1,949 "," 1,965 "," 1,840 "," 1,986 "," 2,400 "," 2,002 "," 1,359 ", 847 ," 1,854 "," 1,971 "," 1,991 "," 2,200 "," 3,343 "," 1,986 "," 2,616 "," 2,312 "," 1,590 "," 2,300 "," 1,886 "," 1,551 "," 1,874 "," 1,886 "," 1,329 "," 1,350 "," 1,591 "," 1,033 "," 1,482 "," 1,975 "," 2,053 "," 1,972 "," 1,929 "," 2,018 "," 2,258 "," 2,439 "," 2,084 "," 1,906 "," 2,259 "," 1,635 "," 1,583 "," 1,912 "," 1,150 "
,     France," 2,130 "," 1,516 "," 1,361 "," 1,432 "," 1,458 "," 1,469 "," 1,442 "," 1,739 "," 2,118 "," 2,744 "," 2,229 "," 2,358 "," 1,529 "," 1,643 "," 1,505 "," 1,900 "," 1,825 "," 1,922 "," 2,724 "," 1,576 "," 1,675 "," 1,400 "," 1,836 "," 1,840 "," 1,906 "," 1,621 "," 2,247 "," 1,710 "," 1,650 "," 1,748 "," 1,180 "," 1,314 "," 1,427 "," 1,608 "," 1,506 "," 2,007 "," 1,789 "," 1,753 "," 1,646 "," 1,625 "," 1,485 "," 1,201 "," 1,743 "," 1,437 "," 1,194 "," 1,318 "," 1,429 "," 1,647 "," 1,572 "," 1,605 "," 1,900 "," 1,426 "," 3,085 "," 2,209 "," 2,233 "," 1,930 "
,     Norway," 1,289 "," 1,047 ", 945 ," 2,441 "," 1,132 "," 1,148 "," 1,264 "," 1,368 "," 1,389 "," 1,297 "," 1,434 "," 1,833 "," 1,584 "," 1,465 "," 1,582 "," 1,739 "," 1,714 "," 1,956 "," 2,027 "," 1,804 "," 1,354 ", 840 , 925 ," 1,621 "," 1,687 "," 1,787 "," 1,898 "," 1,871 "," 1,798 "," 1,924 "," 2,025 "," 1,311 "," 1,118 "," 1,337 "," 1,375 "," 1,284 "," 1,726 "," 1,115 "," 1,160 ", 840 ," 1,174 "," 2,017 "," 1,967 "," 1,456 "," 1,405 "," 1,297 "," 1,307 "," 1,651 "," 1,596 "," 1,664 "," 1,702 "," 1,534 "," 1,519 "," 1,712 "," 1,737 "," 1,703 "
,     Belgium, 751 , 607 , 919 ," 1,017 ", 390 , 485 , 620 , 815 ," 1,000 "," 1,480 ", 837 ," 1,539 ", 824 , 743 , 835 ," 1,927 "," 1,971 ", 961 ," 1,699 "," 1,801 ", 788 , 772 , 851 ," 1,137 "," 1,007 "," 1,300 "," 3,363 "," 1,729 "," 1,755 "," 1,139 ", 673 , 759 , 621 , 995 ," 1,430 "," 1,201 "," 1,033 ", 958 ," 1,077 ", 651 , 716 , 662 , 999 , 883 , 781 , 671 ," 1,092 "," 1,391 "," 1,287 "," 1,093 "," 1,151 "," 1,855 "," 2,160 "," 1,913 "," 2,177 "," 1,901 "
,     Austria, 669 , 568 , 484 , 504 , 626 , 547 , 700 , 613 , 683 , 330 ," 1,177 "," 1,061 ", 804 , 733 ," 1,505 ", 600 , 649 , 443 , 639 , 490 , 416 , 431 , 395 , 715 , 772 , 904 , 774 , 912 , 894 , 843 , 453 , 421 , 716 , 838 , 718 ," 1,141 ", 985 , 993 , 979 , 857 , 715 , 768 , 862 , 689 , 864 , 700 , 733 , 752 ," 1,031 ", 972 ," 1,016 ", 769 , 981 ," 1,029 "," 1,088 "," 1,096 "
,     Europe_Other," 5,415 "," 5,742 "," 6,165 "," 5,010 "," 4,522 "," 4,623 "," 6,656 "," 6,105 "," 3,966 "," 4,953 "," 4,940 "," 6,148 "," 6,104 "," 6,841 "," 5,730 "," 4,537 "," 4,405 "," 4,830 "," 4,646 "," 4,758 "," 4,563 "," 3,604 "," 3,919 "," 4,500 "," 4,818 "," 4,867 "," 6,016 "," 5,373 "," 5,024 "," 5,035 "," 4,995 "," 3,550 "," 4,582 "," 6,265 "," 4,045 "," 5,366 "," 6,214 "," 5,465 "," 5,489 "," 5,411 "," 4,603 "," 4,118 "," 4,875 "," 5,194 "," 4,692 "," 5,251 "," 4,961 "," 5,531 "," 5,289 "," 6,370 "," 5,412 "," 8,870 "," 5,880 "," 6,115 "," 7,271 "," 6,752 "
,    Total Europe," 48,546 "," 40,992 "," 44,823 "," 40,406 "," 43,209 "," 43,905 "," 50,004 "," 48,321 "," 40,842 "," 51,485 "," 51,175 "," 60,513 "," 52,596 "," 51,603 "," 62,039 "," 63,424 "," 65,876 "," 61,232 "," 70,320 "," 58,694 "," 52,371 "," 46,039 "," 40,320 "," 52,088 "," 57,067 "," 55,793 "," 63,219 "," 60,266 "," 59,658 "," 58,490 "," 55,076 "," 52,934 "," 54,697 "," 61,529 "," 65,808 "," 66,780 "," 59,333 "," 55,855 "," 65,642 "," 51,912 "," 61,685 "," 66,029 "," 69,430 "," 61,197 "," 66,159 "," 63,437 "," 60,735 "," 62,643 "," 85,007 "," 68,826 "," 69,600 "," 77,000 "," 67,393 "," 61,203 "," 72,565 "," 67,566 "
,     Saudia Arabia," 9,066 "," 6,973 "," 8,033 "," 7,481 "," 12,049 "," 11,599 "," 11,627 "," 10,432 "," 11,055 "," 10,898 "," 10,686 "," 13,062 "," 11,146 "," 9,679 "," 11,666 "," 12,098 "," 15,063 "," 15,171 "," 16,607 "," 16,563 "," 16,612 "," 18,419 "," 19,205 "," 22,777 "," 19,894 "," 19,218 "," 25,638 "," 23,951 "," 26,436 "," 24,438 "," 22,601 "," 26,615 "," 27,115 "," 28,062 "," 26,665 "," 31,627 "," 30,392 "," 24,356 "," 33,938 "," 29,243 "," 35,044 "," 30,961 "," 29,745 "," 32,273 "," 26,878 "," 33,098 "," 31,905 "," 31,964 "," 32,035 "," 30,727 "," 38,595 "," 36,223 "," 35,468 "," 29,178 "," 37,389 "," 32,728 "
,     Qatar," 4,586 "," 3,946 "," 5,463 "," 7,581 "," 9,734 "," 9,738 "," 9,935 "," 7,526 "," 7,306 "," 6,786 "," 6,350 "," 5,968 "," 5,707 "," 6,094 "," 5,531 "," 5,904 "," 6,292 "," 5,333 "," 5,791 "," 7,042 "," 6,802 "," 6,970 "," 7,214 "," 6,488 "," 6,006 "," 7,085 "," 7,481 "," 8,075 "," 7,787 "," 7,455 "," 7,855 "," 8,083 "," 6,499 "," 5,456 "," 8,101 "," 7,080 "," 5,389 "," 3,990 "," 4,806 "," 4,452 "," 4,160 "," 4,627 "," 4,437 "," 3,886 "," 3,100 "," 3,150 "," 3,041 "," 3,049 "," 3,820 "," 5,643 "," 6,735 "," 6,348 "," 6,013 "," 7,541 "," 6,627 "," 4,982 "
,     United Arab Emirates," 5,870 "," 7,629 "," 6,661 "," 5,481 "," 3,981 "," 7,298 "," 6,067 "," 6,071 "," 7,449 "," 3,728 "," 6,471 "," 6,201 "," 3,376 "," 4,534 "," 4,087 "," 3,850 "," 4,051 "," 3,757 "," 4,819 "," 4,152 "," 3,780 "," 7,154 "," 6,062 "," 7,684 "," 6,477 "," 4,572 "," 6,094 "," 6,037 "," 5,404 "," 5,347 "," 6,263 "," 3,261 "," 5,134 "," 4,107 "," 4,718 "," 4,253 "," 3,975 "," 5,370 "," 6,817 "," 6,170 "," 8,029 "," 3,926 "," 5,357 "," 4,128 "," 3,580 "," 6,350 "," 5,093 "," 6,819 "," 9,332 "," 10,012 "," 9,164 "," 7,517 "," 12,120 "," 14,788 "," 11,893 "," 13,791 "
,     Bahrain, 742 , 907 ," 1,192 ", 801 ," 1,155 "," 1,107 "," 1,187 "," 1,263 ", 970 , 486 , 865 , 754 , 617 ," 1,071 ", 663 ," 1,003 ", 955 , 906 ," 1,212 "," 1,047 ", 928 , 917 ," 2,116 ", 987 , 630 , 832 ," 1,407 ", 761 , 667 , 708 , 575 , 588 , 495 , 460 , 593 , 166 , 137 , 157 , 250 , 129 , 233 , 108 , 114 , 172 , 130 , 131 , 170 , 308 , 486 , 897 , 573 , 365 , 184 , 904 , 295 , 378 
,     India," 3,375 "," 1,119 ", 918 ," 1,584 ", 914 ," 1,418 "," 1,029 ", 981 ," 1,766 "," 2,331 ", 552 ," 1,359 "," 3,982 ", 668 ," 1,688 "," 1,610 "," 1,433 "," 1,167 "," 2,069 "," 1,871 "," 1,316 "," 1,738 "," 2,432 "," 2,282 "," 5,053 "," 3,602 "," 1,564 "," 2,065 "," 3,397 "," 4,398 "," 1,175 "," 1,648 "," 2,351 "," 2,110 "," 3,646 "," 3,032 "," 1,104 "," 1,307 "," 2,326 "," 2,084 "," 2,966 "," 2,595 ", 611 , 668 ," 1,529 ", 457 ," 2,290 "," 2,292 "," 2,795 "," 1,013 "," 1,021 "," 1,581 "," 1,268 "," 2,593 "," 2,455 "," 1,550 "
,     Oman, 846 , 461 , 368 , 566 , 755 , 623 , 659 , 541 , 413 , 378 , 560 , 297 , 325 , 575 , 213 , 885 , 709 , 647 , 780 , 718 , 588 , 430 , 449 , 613 , 432 , 391 , 502 , 659 , 491 , 465 , 461 , 379 , 251 , 247 , 225 , 155 , 181 , 108 , 229 , 205 , 117 , 143 , 105 , 186 , 223 , 250 , 305 , 256 , 312 , 350 , 598 , 650 , 585 , 602 , 539 , 536 
,     Japan, 545 , 487 , 514 , 443 , 387 , 580 , 546 , 549 , 567 , 634 , 627 , 617 , 528 , 490 , 412 , 571 , 512 , 536 , 455 , 459 , 418 , 400 , 472 ," 1,000 ", 542 , 448 , 721 ," 1,023 ", 677 ," 1,539 ", 348 , 922 , 355 ," 1,191 ", 768 , 859 ," 1,096 ", 345 ," 1,074 "," 1,652 ", 684 , 778 , 651 , 525 , 557 , 771 , 646 , 750 , 749 , 576 , 618 , 735 , 344 , 394 , 433 , 329 
,     Iraq, 428 , 363 , 246 , 266 , 290 , 359 , 404 , 360 , 417 , 392 , 433 , 576 , 452 , 363 , 393 , 517 , -   , -   , 546 , 563 , 471 , 523 , 539 , 642 , 508 , 457 , 682 , 611 , 541 , 548 , 465 , 486 , 548 , 519 , 525 , 604 , 575 , 348 , 483 , 559 , 602 , 469 , 494 , 439 , 621 , 401 , 416 , 532 , 603 , 573 ," 1,052 "," 4,240 "," 4,572 ", 808 ," 1,389 "," 1,232 "
,     China, 298 , 173 , 98 , 197 , 461 , 61 , 47 , 309 , 441 , 266 , 283 , 213 , 222 , 266 , 133 , -   , 227 , 229 , 158 , 234 , 119 , 91 , 119 , 576 , 95 , 79 , 145 , 593 , 194 , 87 , 87 , 204 , 105 , 79 , 80 , 92 , 34 , 97 , 176 , 245 , 257 , 127 , 132 , 117 , 281 , 274 , 181 , 700 , 332 ," 1,024 ", 392 , 453 , 533 , 345 , 254 , 338 
,     Asia_Other," 2,224 "," 2,828 "," 1,659 "," 1,263 "," 1,936 "," 1,735 "," 8,251 "," 8,968 "," 4,566 "," 2,735 "," 2,541 "," 3,242 "," 1,691 "," 2,725 "," 6,011 "," 2,553 "," 3,416 "," 2,915 "," 2,381 "," 3,511 "," 2,381 "," 2,331 "," 2,692 "," 3,422 "," 3,151 "," 5,838 "," 3,212 "," 3,247 "," 3,597 "," 3,507 "," 3,413 "," 3,467 "," 3,342 "," 4,132 "," 3,443 "," 4,471 "," 3,595 "," 2,929 "," 3,564 "," 3,407 "," 3,602 "," 4,257 "," 5,058 "," 5,840 "," 2,945 "," 3,329 "," 3,489 "," 3,274 "," 4,623 "," 4,971 "," 4,053 "," 3,605 "," 3,968 "," 3,751 "," 4,376 "," 3,888 "
,    Total Asia," 27,980 "," 24,886 "," 25,151 "," 25,662 "," 31,663 "," 34,518 "," 39,750 "," 37,001 "," 34,949 "," 28,634 "," 29,367 "," 32,288 "," 28,046 "," 26,465 "," 30,796 "," 28,993 "," 32,658 "," 30,660 "," 34,820 "," 36,160 "," 33,414 "," 38,973 "," 41,299 "," 46,471 "," 42,788 "," 42,522 "," 47,446 "," 47,022 "," 49,190 "," 48,492 "," 43,243 "," 45,653 "," 46,196 "," 46,364 "," 48,764 "," 52,339 "," 46,478 "," 39,007 "," 53,662 "," 48,146 "," 55,695 "," 47,990 "," 46,705 "," 48,234 "," 39,846 "," 48,210 "," 47,536 "," 49,944 "," 55,087 "," 55,787 "," 62,801 "," 61,717 "," 65,055 "," 60,905 "," 65,650 "," 59,751 "
,     South Africa," 38,961 "," 21,859 "," 15,897 "," 5,721 "," 20,939 "," 45,734 "," 26,381 "," 8,993 "," 3,808 "," 4,228 "," 1,656 "," 1,865 ", 992 ," 1,425 "," 1,474 "," 1,734 "," 1,103 "," 1,711 "," 1,004 ", 848 , 835 ," 2,693 "," 1,776 "," 2,315 "," 2,337 "," 2,439 "," 3,004 "," 1,548 "," 1,345 "," 1,138 "," 1,683 "," 1,156 "," 1,111 "," 1,175 "," 2,660 "," 1,003 ", 931 , 708 ," 1,031 ", 788 , 957 , 871 , 989 , 856 , 904 , 873 ," 1,318 "," 1,319 "," 1,036 "," 1,444 "," 2,430 "," 1,427 "," 1,808 "," 2,199 "," 2,192 "," 2,689 "
,     Tanzania," 2,572 "," 2,465 "," 2,855 "," 2,635 "," 2,590 "," 2,355 "," 2,957 "," 4,667 "," 3,223 "," 3,386 "," 2,932 "," 11,379 "," 3,664 "," 3,491 "," 3,677 "," 3,501 "," 4,085 "," 4,017 "," 4,252 "," 4,234 "," 4,505 "," 4,326 "," 4,621 "," 4,753 "," 4,218 "," 3,989 "," 4,986 "," 4,910 "," 4,272 "," 4,488 "," 5,014 "," 4,296 "," 4,676 "," 5,006 "," 4,865 "," 5,472 "," 5,511 "," 4,663 "," 5,482 "," 5,052 "," 5,733 "," 5,179 "," 6,052 "," 9,063 "," 9,139 "," 6,454 "," 8,612 "," 7,020 "," 8,421 "," 8,377 "," 6,901 "," 5,761 "," 6,564 "," 5,137 "," 5,132 "," 5,400 "
,     Uganda," 1,798 "," 2,556 "," 2,751 "," 1,565 "," 1,387 "," 1,175 "," 1,910 "," 2,233 "," 1,812 "," 2,551 "," 2,132 "," 1,883 "," 2,586 "," 2,198 "," 2,343 "," 2,182 "," 2,078 "," 2,425 "," 2,375 "," 2,576 "," 3,879 "," 2,721 "," 2,349 "," 2,269 "," 2,439 "," 2,572 "," 2,124 "," 2,036 "," 2,512 "," 2,541 "," 2,488 "," 2,093 "," 2,320 "," 2,106 "," 2,417 "," 2,062 "," 3,326 "," 4,706 "," 2,851 "," 3,725 "," 8,852 "," 4,911 "," 7,302 "," 4,590 "," 4,507 "," 3,377 "," 3,696 "," 5,502 "," 6,017 "," 4,407 "," 5,548 "," 4,739 "," 5,833 "," 5,009 "," 5,923 "," 4,037 "
,     Nigeria, 504 , 387 , 490 , 154 , 173 , 213 , 267 , 284 , 500 , 230 , 219 , 264 , 322 , 319 , 737 , 388 , 216 , 428 , 501 , 435 , 777 , 569 ," 1,396 "," 1,913 ", 505 , 508 , 308 , 468 , 244 , 293 , 289 , 232 , 203 , 292 , 363 , 358 , 424 , 662 , 312 , 392 , 526 , 402 , 475 , 640 , 389 ," 1,145 ", 430 , 326 , 471 , 641 , 943 , 487 , 725 , 599 , 602 , 457 
,     Ivory Coast, 128 , 161 , 81 , 86 , 74 , 333 , 74 , 250 , 188 , 224 , 284 , 221 , 250 , 228 , 118 , 357 , 351 , 473 , 455 , 285 , 316 , 166 , 361 , 414 , 478 , 291 , 342 , 226 , 446 , 432 ," 1,111 ", 488 ," 1,477 ", 301 , 234 , 311 , 341 , 264 , 327 , 573 ," 1,244 ", 478 , 336 ," 3,394 ", 296 ," 1,805 ", 862 , 300 , 280 , 273 , 361 , 353 , 311 , 443 , 384 , 644 
,     Zambia, 345 , 242 , 253 , 168 , 490 , 122 , 271 , 174 , 142 , 176 , 158 , 196 , 217 , 185 , 262 , 196 , 669 , 297 , 289 , 315 , 267 , 331 , 274 , 436 , 338 , 297 , 443 , 195 , 360 , 330 , 236 , 434 , 326 , 321 , 339 , 528 , 615 , 407 , 771 , 929 ," 1,094 ", 803 , 574 , 372 , 477 , 660 , 518 , 670 , 487 , 644 , 497 , 615 , 640 , 633 , 665 , 884 
,     South Sudan, 401 , 80 , 158 , 95 , 95 , 56 , 74 , 66 , 112 , 76 , 68 , 126 , 94 , 141 , 156 , 388 , 112 , 115 , 76 , 155 , 115 , 115 , 85 , 82 , 111 , 177 , 170 , 179 , 224 , 133 , 132 , 225 , 231 , 368 , 331 , 526 , 347 , 228 , 195 , 130 , 180 , 171 , 141 , 160 , 175 , 263 , 155 , 715 , 964 , 371 , 549 , 442 , 462 , 453 , 715 , 349 
,     Egypt, 979 , 838 , 72 , 72 , 74 , 89 , 83 , 118 , 103 , 315 , 125 , 182 , 132 , 112 , 167 , 93 , 329 , 140 , 136 , 186 , 159 , 161 , 152 , 88 , 74 , 221 , 165 , 385 , 119 , 226 , 157 , 97 , 89 , 73 , 102 , 102 , 152 , 209 , 149 , 155 , 235 , 219 , 262 , 87 , 167 , 231 , 116 , 154 , 195 , 154 , 215 , 200 , 371 , 156 , 238 , 419 
,     Malawi, 68 , 65 , 59 , 50 , 47 , 57 , 93 , 129 , 63 , 85 , 65 , 136 , 81 , 80 , 75 , 54 , 73 , 160 , 103 , 121 , 96 , 139 , 101 , 168 , 589 , 527 , 130 , 235 , 120 , 148 , 109 , 92 , 130 , 109 , 267 , 249 , 101 , 105 , 170 , 173 , 174 , 188 , 203 , 468 , 487 , 177 , 187 , 162 , 135 , 120 , 90 , 161 , 103 , 133 , 88 , 117 
,     Africa_Other," 4,857 "," 6,577 "," 6,301 "," 2,487 "," 3,425 "," 3,184 "," 4,591 "," 7,009 "," 5,058 "," 4,238 "," 3,350 "," 4,166 "," 3,247 "," 4,666 "," 5,658 "," 4,491 "," 4,488 "," 4,409 "," 4,780 "," 5,111 "," 4,531 "," 7,805 "," 5,777 "," 5,723 "," 4,410 "," 9,058 "," 5,916 "," 5,668 "," 5,566 "," 5,335 "," 5,630 "," 5,530 "," 6,283 "," 5,468 "," 8,851 "," 11,570 "," 8,362 "," 4,928 "," 6,006 "," 11,135 "," 12,324 "," 11,968 "," 14,218 "," 10,371 "," 10,151 "," 12,034 "," 15,406 "," 9,630 "," 13,497 "," 17,339 "," 18,978 "," 9,551 "," 13,399 "," 13,273 "," 14,163 "," 11,199 "
,    Total Africa," 50,613 "," 35,230 "," 28,916 "," 13,032 "," 29,293 "," 53,317 "," 36,702 "," 23,924 "," 15,009 "," 15,508 "," 10,988 "," 20,419 "," 11,585 "," 12,845 "," 14,666 "," 13,384 "," 13,505 "," 14,176 "," 13,970 "," 14,266 "," 15,480 "," 19,026 "," 16,892 "," 18,160 "," 15,498 "," 20,078 "," 17,588 "," 15,851 "," 15,207 "," 15,066 "," 16,849 "," 14,643 "," 16,845 "," 15,219 "," 20,429 "," 22,182 "," 20,110 "," 16,880 "," 17,294 "," 23,052 "," 31,319 "," 25,189 "," 30,552 "," 30,000 "," 26,692 "," 27,019 "," 31,300 "," 25,798 "," 31,503 "," 33,770 "," 36,511 "," 23,736 "," 30,216 "," 28,035 "," 30,101 "," 26,198 "
